Instrument: Synthetic Potentiostat 3000
Technique: Linear sweep voltammetry
Reference electrode: SCE
Scan rate: 10 mV/s
Electrode area: 0.196 cm^2
time_s	Potential_V	Current_A
10.53929	0.005393	4.618008561427e-10
10.72419	0.007242	4.811708837904e-10
10.90909	0.009091	5.013533757213e-10
11.09399	0.010940	5.223824100308e-10
11.27889	0.012789	5.442934941699e-10
11.46379	0.014638	5.671236248952e-10
11.64869	0.016487	5.909113507341e-10
11.83359	0.018336	6.156968370692e-10
12.01849	0.020185	6.415219339522e-10
12.20339	0.022034	6.684302467628e-10
12.38829	0.023883	6.964672098294e-10
12.57319	0.025732	7.256801631390e-10
12.75809	0.027581	7.561184322628e-10
12.94299	0.029430	7.878334116347e-10
13.12789	0.031279	8.208786513223e-10
13.31279	0.033128	8.553099474357e-10
13.49769	0.034977	8.911854363296e-10
13.68259	0.036826	9.285656927545e-10
13.86749	0.038675	9.675138321247e-10
14.05239	0.040524	1.008095617075e-09
14.23729	0.042373	1.050379568486e-09
14.42219	0.044222	1.094437081166e-09
14.60709	0.046071	1.140342544380e-09
14.79199	0.047920	1.188173467441e-09
14.97689	0.049769	1.238010610561e-09
15.16179	0.051618	1.289938121190e-09
15.34669	0.053467	1.344043676078e-09
15.53159	0.055316	1.400418629283e-09
15.71649	0.057165	1.459158166398e-09
15.90139	0.059014	1.520361465239e-09
16.08629	0.060863	1.584131863267e-09
16.27119	0.062712	1.650577032037e-09
16.45609	0.064561	1.719809158958e-09
16.64099	0.066410	1.791945136678e-09
16.82589	0.068259	1.867106760404e-09
17.01079	0.070108	1.945420933499e-09
17.19569	0.071957	2.027019881700e-09
17.38059	0.073806	2.112041376315e-09
17.56549	0.075655	2.200628966781e-09
17.75039	0.077504	2.292932222968e-09
17.93529	0.079353	2.389106987645e-09
18.12018	0.081202	2.489315639533e-09
18.30508	0.083051	2.593727367377e-09
18.48998	0.084900	2.702518455516e-09
18.67488	0.086749	2.815872581423e-09
18.85978	0.088598	2.933981125716e-09
19.04468	0.090447	3.057043495166e-09
19.22958	0.092296	3.185267459244e-09
19.41448	0.094145	3.318869500777e-09
19.59938	0.095994	3.458075181300e-09
19.78428	0.097843	3.603119521723e-09
19.96918	0.099692	3.754247398954e-09
20.15408	0.101541	3.911713959146e-09
20.33898	0.103390	4.075785048257e-09
20.52388	0.105239	4.246737660669e-09
20.70878	0.107088	4.424860406589e-09
20.89368	0.108937	4.610453999056e-09
21.07858	0.110786	4.803831761342e-09
21.26348	0.112635	5.005320155625e-09
21.44838	0.114484	5.215259333805e-09
21.63328	0.116333	5.434003711409e-09
21.81818	0.118182	5.661922565536e-09
22.00308	0.120031	5.899400657852e-09
22.18798	0.121880	6.146838883690e-09
22.37288	0.123729	6.404654948343e-09
22.55778	0.125578	6.673284071676e-09
22.74268	0.127427	6.953179722268e-09
22.92758	0.129276	7.244814382294e-09
23.11248	0.131125	7.548680344441e-09
23.29738	0.132974	7.865290542211e-09
23.48228	0.134823	8.195179414978e-09
23.66718	0.136672	8.538903809284e-09
23.85208	0.138521	8.897043917866e-09
24.03698	0.140370	9.270204258001e-09
24.22188	0.142219	9.659014690807e-09
24.40678	0.144068	1.006413148322e-08
24.59168	0.145917	1.048623841443e-08
24.77658	0.147766	1.092604792859e-08
24.96148	0.149615	1.138430233583e-08
25.14638	0.151464	1.186177506348e-08
25.33128	0.153313	1.235927195964e-08
25.51618	0.155162	1.287763265138e-08
25.70108	0.157011	1.341773195962e-08
25.88598	0.158860	1.398048137332e-08
26.07088	0.160709	1.456683058525e-08
26.25578	0.162558	1.517776909205e-08
26.44068	0.164407	1.581432786110e-08
26.62558	0.166256	1.647758106721e-08
26.81048	0.168105	1.716864790179e-08
26.99538	0.169954	1.788869445772e-08
27.18028	0.171803	1.863893569296e-08
27.36518	0.173652	1.942063747621e-08
27.55008	0.175501	2.023511871804e-08
27.73498	0.177350	2.108375359104e-08
27.91988	0.179199	2.196797384271e-08
28.10478	0.181048	2.288927120488e-08
28.28968	0.182897	2.384919990379e-08
28.47458	0.184746	2.484937927489e-08
28.65948	0.186595	2.589149648680e-08
28.84438	0.188444	2.697730937884e-08
29.02928	0.190293	2.810864941708e-08
29.21418	0.192142	2.928742477348e-08
29.39908	0.193991	3.051562353361e-08
29.58398	0.195840	3.179531703787e-08
29.76888	0.197689	3.312866336214e-08
29.95378	0.199538	3.451791094332e-08
30.13867	0.201387	3.596540235589e-08
30.32357	0.203236	3.747357824578e-08
30.50847	0.205085	3.904498142787e-08
30.69337	0.206934	4.068226115410e-08
30.87827	0.208783	4.238817755904e-08
31.06317	0.210632	4.416560629034e-08
31.24807	0.212481	4.601754333168e-08
31.43297	0.214330	4.794711002608e-08
31.61787	0.216179	4.995755830783e-08
31.80277	0.218028	5.205227615168e-08
31.98767	0.219877	5.423479324815e-08
32.17257	0.221726	5.650878691420e-08
32.35747	0.223575	5.887808824903e-08
32.54237	0.225424	6.134668854494e-08
32.72727	0.227273	6.391874596368e-08
32.91217	0.229122	6.659859248924e-08
33.09707	0.230971	6.939074116827e-08
33.28197	0.232820	7.229989364982e-08
33.46687	0.234669	7.533094803679e-08
33.65177	0.236518	7.848900706146e-08
33.83667	0.238367	8.177938659854e-08
34.02157	0.240216	8.520762452925e-08
34.20647	0.242065	8.877948997073e-08
34.39137	0.243914	9.250099288551e-08
34.57627	0.245763	9.637839408640e-08
34.76117	0.247612	1.004182156527e-07
34.94607	0.249461	1.046272517743e-07
35.13097	0.251310	1.090125800408e-07
35.31587	0.253159	1.135815731940e-07
35.50077	0.255008	1.183419113608e-07
35.68567	0.256857	1.233015947877e-07
35.87057	0.258706	1.284689570954e-07
36.05547	0.260555	1.338526790749e-07
36.24037	0.262404	1.394618030458e-07
36.42527	0.264253	1.453057478002e-07
36.61017	0.266102	1.513943241542e-07
36.79507	0.267951	1.577377511309e-07
36.97997	0.269800	1.643466728013e-07
37.16487	0.271649	1.712321758063e-07
37.34977	0.273498	1.784058075878e-07
37.53467	0.275347	1.858795953573e-07
37.71957	0.277196	1.936660658278e-07
37.90447	0.279045	2.017782657415e-07
38.08937	0.280894	2.102297832214e-07
38.27427	0.282743	2.190347699803e-07
38.45917	0.284592	2.282079644177e-07
38.64407	0.286441	2.377647156406e-07
38.82897	0.288290	2.477210084410e-07
39.01387	0.290139	2.580934892671e-07
39.19877	0.291988	2.688994932257e-07
39.38367	0.293837	2.801570721521e-07
39.56857	0.295686	2.918850237895e-07
39.75347	0.297535	3.041029221169e-07
39.93837	0.299384	3.168311488675e-07
40.12327	0.301233	3.300909262811e-07
40.30817	0.303082	3.439043511353e-07
40.49307	0.304931	3.582944300991e-07
40.67797	0.306780	3.732851164587e-07
40.86287	0.308629	3.889013482606e-07
41.04777	0.310478	4.051690879229e-07
41.23267	0.312327	4.221153633656e-07
41.41757	0.314176	4.397683107097e-07
41.60247	0.316025	4.581572186003e-07
41.78737	0.317874	4.773125742059e-07
41.97227	0.319723	4.972661109497e-07
42.15716	0.321572	5.180508580291e-07
42.34206	0.323421	5.397011917807e-07
42.52696	0.325270	5.622528889477e-07
42.71186	0.327119	5.857431819106e-07
42.89676	0.328968	6.102108159385e-07
43.08166	0.330817	6.356961085241e-07
43.26656	0.332666	6.622410108601e-07
43.45146	0.334515	6.898891715207e-07
43.63636	0.336364	7.186860024089e-07
43.82126	0.338213	7.486787470305e-07
44.00616	0.340062	7.799165511572e-07
44.19106	0.341911	8.124505359390e-07
44.37596	0.343760	8.463338735272e-07
44.56086	0.345609	8.816218652669e-07
44.74576	0.347458	9.183720225173e-07
44.93066	0.349307	9.566441501582e-07
45.11556	0.351156	9.965004328358e-07
45.30046	0.353005	1.038005524002e-06
45.48536	0.354854	1.081226637797e-06
45.67026	0.356703	1.126233643823e-06
45.85516	0.358552	1.173099164847e-06
46.04006	0.360401	1.221898677486e-06
46.22496	0.362250	1.272710615887e-06
46.40986	0.364099	1.325616478449e-06
46.59476	0.365948	1.380700937603e-06
46.77966	0.367797	1.438051952661e-06
46.96456	0.369646	1.497760885747e-06
47.14946	0.371495	1.559922620803e-06
47.33436	0.373344	1.624635685663e-06
47.51926	0.375193	1.692002377168e-06
47.70416	0.377042	1.762128889290e-06
47.88906	0.378891	1.835125444215e-06
48.07396	0.380740	1.911106426314e-06
48.25886	0.382589	1.990190518941e-06
48.44376	0.384438	2.072500843937e-06
48.62866	0.386287	2.158165103738e-06
48.81356	0.388136	2.247315725940e-06
48.99846	0.389985	2.340090010166e-06
49.18336	0.391834	2.436630277037e-06
49.36826	0.393683	2.537084019041e-06
49.55316	0.395532	2.641604053049e-06
49.73806	0.397381	2.750348674202e-06
49.92296	0.399230	2.863481810862e-06
50.10786	0.401079	2.981173180265e-06
50.29276	0.402928	3.103598444500e-06
50.47766	0.404777	3.230939366375e-06
50.66256	0.406626	3.363383964688e-06
50.84746	0.408475	3.501126668382e-06
51.03236	0.410324	3.644368468996e-06
51.21726	0.412173	3.793317070776e-06
51.40216	0.414022	3.948187037760e-06
51.58706	0.415871	4.109199937062e-06
51.77196	0.417720	4.276584477537e-06
51.95686	0.419569	4.450576642935e-06
52.14176	0.421418	4.631419818570e-06
52.32666	0.423267	4.819364910447e-06
52.51156	0.425116	5.014670455742e-06
52.69646	0.426965	5.217602723402e-06
52.88136	0.428814	5.428435803567e-06
53.06626	0.430663	5.647451684437e-06
53.25116	0.432512	5.874940315086e-06
53.43606	0.434361	6.111199652636e-06
53.62096	0.436210	6.356535692138e-06
53.80586	0.438059	6.611262477346e-06
53.99076	0.439908	6.875702090535e-06
54.17565	0.441757	7.150184619353e-06
54.36055	0.443606	7.435048098653e-06
54.54545	0.445455	7.730638425086e-06
54.73035	0.447304	8.037309242213e-06
54.91525	0.449153	8.355421793732e-06
55.10015	0.451002	8.685344742362e-06
55.28505	0.452851	9.027453951847e-06
55.46995	0.454700	9.382132229441e-06
55.65485	0.456549	9.749769026195e-06
55.83975	0.458398	1.013076009229e-05
56.02465	0.460247	1.052550708465e-05
56.20955	0.462096	1.093441712398e-05
56.39445	0.463945	1.135790229849e-05
56.57935	0.465794	1.179637911139e-05
56.76425	0.467643	1.225026786947e-05
56.94915	0.469492	1.271999201005e-05
57.13405	0.471341	1.320597736367e-05
57.31895	0.473190	1.370865134995e-05
57.50385	0.475039	1.422844210449e-05
57.68875	0.476888	1.476577753449e-05
57.87365	0.478737	1.532108430124e-05
58.05855	0.480586	1.589478672795e-05
58.24345	0.482435	1.648730563158e-05
58.42835	0.484284	1.709905707777e-05
58.61325	0.486133	1.773045105842e-05
58.79815	0.487982	1.838189009193e-05
58.98305	0.489831	1.905376774679e-05
59.16795	0.491680	1.974646708945e-05
59.35285	0.493529	2.046035905853e-05
59.53775	0.495378	2.119580076781e-05
59.72265	0.497227	2.195313374126e-05
59.90755	0.499076	2.273268208441e-05
60.09245	0.500924	2.353475059683e-05
60.27735	0.502773	2.435962283184e-05
60.46225	0.504622	2.520755911026e-05
60.64715	0.506471	2.607879449596e-05
60.83205	0.508320	2.697353674226e-05
61.01695	0.510169	2.789196421886e-05
61.20185	0.512018	2.883422383042e-05
61.38675	0.513867	2.980042893851e-05
61.57165	0.515716	3.079065730002e-05
61.75655	0.517565	3.180494903563e-05
61.94145	0.519414	3.284330464338e-05
62.12635	0.521263	3.390568307252e-05
62.31125	0.523112	3.499199987418e-05
62.49615	0.524961	3.610212544542e-05
62.68105	0.526810	3.723588338418e-05
62.86595	0.528659	3.839304897248e-05
63.05085	0.530508	3.957334780582e-05
63.23575	0.532357	4.077645458626e-05
63.42065	0.534206	4.200199209667e-05
63.60555	0.536055	4.324953037307e-05
63.79045	0.537904	4.451858609125e-05
63.97535	0.539753	4.580862218297e-05
64.16025	0.541602	4.711904769578e-05
64.34515	0.543451	4.844921790922e-05
64.53005	0.545300	4.979843471826e-05
64.71495	0.547149	5.116594729324e-05
64.89985	0.548998	5.255095302315e-05
65.08475	0.550847	5.395259874710e-05
65.26965	0.552696	5.536998227606e-05
65.45455	0.554545	5.680215420456e-05
65.63945	0.556394	5.824812000912e-05
65.82435	0.558243	5.970684242747e-05
66.00924	0.560092	6.117724410983e-05
66.19414	0.561941	6.265821053030e-05
66.37904	0.563790	6.414859314416e-05
66.56394	0.565639	6.564721277373e-05
66.74884	0.567488	6.715286320290e-05
66.93374	0.569337	6.866431495834e-05
67.11864	0.571186	7.018031925280e-05
67.30354	0.573035	7.169961206434e-05
67.48844	0.574884	7.322091832340e-05
67.67334	0.576733	7.474295617865e-05
67.85824	0.578582	7.626444131120e-05
68.04314	0.580431	7.778409126657e-05
68.22804	0.582280	7.930062977325e-05
68.41294	0.584129	8.081279101708e-05
68.59784	0.585978	8.231932384108e-05
68.78274	0.587827	8.381899584145e-05
68.96764	0.589676	8.531059733139e-05
69.15254	0.591525	8.679294514640e-05
69.33744	0.593374	8.826488626622e-05
69.52234	0.595223	8.972530123099e-05
69.70724	0.597072	9.117310733147e-05
69.89214	0.598921	9.260726155566e-05
70.07704	0.600770	9.402676327706e-05
70.26194	0.602619	9.543065667238e-05
70.44684	0.604468	9.681803285951e-05
70.63174	0.606317	9.818803174943e-05
70.81664	0.608166	9.953984360844e-05
71.00154	0.610015	1.008727103299e-04
71.18644	0.611864	1.021859264177e-04
71.37134	0.613713	1.034788396850e-04
71.55624	0.615562	1.047508516756e-04
71.74114	0.617411	1.060014178174e-04
71.92604	0.619260	1.072300473164e-04
72.11094	0.621109	1.084363028066e-04
72.29584	0.622958	1.096197997673e-04
72.48074	0.624807	1.107802057249e-04
72.66564	0.626656	1.119172392530e-04
72.85054	0.628505	1.130306687903e-04
73.03544	0.630354	1.141203112915e-04
73.22034	0.632203	1.151860307298e-04
73.40524	0.634052	1.162277364687e-04
73.59014	0.635901	1.172453815204e-04
73.77504	0.637750	1.182389607086e-04
73.95994	0.639599	1.192085087518e-04
74.14484	0.641448	1.201540982847e-04
74.32974	0.643297	1.210758378317e-04
74.51464	0.645146	1.219738697488e-04
74.69954	0.646995	1.228483681470e-04
74.88444	0.648844	1.236995368108e-04
75.06934	0.650693	1.245276071229e-04
75.25424	0.652542	1.253328360076e-04
75.43914	0.654391	1.261155039017e-04
75.62404	0.656240	1.268759127624e-04
75.80894	0.658089	1.276143841200e-04
75.99384	0.659938	1.283312571829e-04
76.17874	0.661787	1.290268870004e-04
76.36364	0.663636	1.297016426883e-04
76.54854	0.665485	1.303559057227e-04
76.73344	0.667334	1.309900683038e-04
76.91834	0.669183	1.316045317933e-04
77.10324	0.671032	1.321997052277e-04
77.28814	0.672881	1.327760039075e-04
77.47304	0.674730	1.333338480642e-04
77.65794	0.676579	1.338736616043e-04
77.84284	0.678428	1.343958709305e-04
78.02773	0.680277	1.349009038391e-04
78.21263	0.682126	1.353891884923e-04
78.39753	0.683975	1.358611524632e-04
78.58243	0.685824	1.363172218536e-04
78.76733	0.687673	1.367578204800e-04
78.95223	0.689522	1.371833691269e-04
79.13713	0.691371	1.375942848657e-04
79.32203	0.693220	1.379909804338e-04
79.50693	0.695069	1.383738636752e-04
79.69183	0.696918	1.387433370356e-04
79.87673	0.698767	1.390997971128e-04
80.06163	0.700616	1.394436342571e-04
80.24653	0.702465	1.397752322202e-04
80.43143	0.704314	1.400949678497e-04
80.61633	0.706163	1.404032108254e-04
80.80123	0.708012	1.407003234361e-04
80.98613	0.709861	1.409866603939e-04
81.17103	0.711710	1.412625686823e-04
81.35593	0.713559	1.415283874370e-04
81.54083	0.715408	1.417844478570e-04
81.72573	0.717257	1.420310731423e-04
81.91063	0.719106	1.422685784577e-04
82.09553	0.720955	1.424972709194e-04
82.28043	0.722804	1.427174496028e-04
82.46533	0.724653	1.429294055702e-04
82.65023	0.726502	1.431334219155e-04
82.83513	0.728351	1.433297738248e-04
83.02003	0.730200	1.435187286515e-04
83.20493	0.732049	1.437005460043e-04
83.38983	0.733898	1.438754778457e-04
83.57473	0.735747	1.440437686018e-04
83.75963	0.737596	1.442056552802e-04
83.94453	0.739445	1.443613675954e-04
84.12943	0.741294	1.445111281011e-04
84.31433	0.743143	1.446551523286e-04
84.49923	0.744992	1.447936489290e-04
84.68413	0.746841	1.449268198201e-04
84.86903	0.748690	1.450548603360e-04
85.05393	0.750539	1.451779593793e-04
85.23883	0.752388	1.452962995751e-04
85.42373	0.754237	1.454100574260e-04
85.60863	0.756086	1.455194034681e-04
85.79353	0.757935	1.456245024270e-04
85.97843	0.759784	1.457255133731e-04
86.16333	0.761633	1.458225898774e-04
86.34823	0.763482	1.459158801648e-04
86.53313	0.765331	1.460055272676e-04
86.71803	0.767180	1.460916691756e-04
86.90293	0.769029	1.461744389866e-04
87.08783	0.770878	1.462539650524e-04
87.27273	0.772727	1.463303711245e-04
87.45763	0.774576	1.464037764961e-04
87.64253	0.776425	1.464742961422e-04
87.82743	0.778274	1.465420408568e-04
88.01233	0.780123	1.466071173871e-04
88.19723	0.781972	1.466696285651e-04
88.38213	0.783821	1.467296734362e-04
88.56703	0.785670	1.467873473846e-04
88.75193	0.787519	1.468427422557e-04
88.93683	0.789368	1.468959464761e-04
89.12173	0.791217	1.469470451690e-04
89.30663	0.793066	1.469961202686e-04
89.49153	0.794915	1.470432506294e-04
89.67643	0.796764	1.470885121336e-04
89.86133	0.798613	1.471319777957e-04
90.04622	0.800462	1.471737178627e-04
90.23112	0.802311	1.472137999130e-04
90.41602	0.804160	1.472522889513e-04
90.60092	0.806009	1.472892475008e-04
90.78582	0.807858	1.473247356925e-04
90.97072	0.809707	1.473588113523e-04
91.15562	0.811556	1.473915300846e-04
91.34052	0.813405	1.474229453533e-04
91.52542	0.815254	1.474531085608e-04
91.71032	0.817103	1.474820691236e-04
91.89522	0.818952	1.475098745459e-04
92.08012	0.820801	1.475365704906e-04
92.26502	0.822650	1.475622008480e-04
92.44992	0.824499	1.475868078019e-04
92.63482	0.826348	1.476104318935e-04
92.81972	0.828197	1.476331120836e-04
93.00462	0.830046	1.476548858119e-04
93.18952	0.831895	1.476757890546e-04
93.37442	0.833744	1.476958563798e-04
93.55932	0.835593	1.477151210012e-04
93.74422	0.837442	1.477336148299e-04
93.92912	0.839291	1.477513685237e-04
94.11402	0.841140	1.477684115354e-04
94.29892	0.842989	1.477847721591e-04
94.48382	0.844838	1.478004775743e-04
94.66872	0.846687	1.478155538896e-04
94.85362	0.848536	1.478300261831e-04
95.03852	0.850385	1.478439185431e-04
95.22342	0.852234	1.478572541060e-04
95.40832	0.854083	1.478700550930e-04
95.59322	0.855932	1.478823428462e-04
95.77812	0.857781	1.478941378624e-04
95.96302	0.859630	1.479054598262e-04
96.14792	0.861479	1.479163276417e-04
96.33282	0.863328	1.479267594628e-04
96.51772	0.865177	1.479367727228e-04
96.70262	0.867026	1.479463841624e-04
96.88752	0.868875	1.479556098570e-04
97.07242	0.870724	1.479644652428e-04
97.25732	0.872573	1.479729651418e-04
97.44222	0.874422	1.479811237859e-04
97.62712	0.876271	1.479889548406e-04
97.81202	0.878120	1.479964714266e-04
97.99692	0.879969	1.480036861419e-04
98.18182	0.881818	1.480106110821e-04
98.36672	0.883667	1.480172578603e-04
98.55162	0.885516	1.480236376262e-04
98.73652	0.887365	1.480297610846e-04
98.92142	0.889214	1.480356385125e-04
99.10632	0.891063	1.480412797767e-04
99.29122	0.892912	1.480466943497e-04
99.47612	0.894761	1.480518913253e-04
99.66102	0.896610	1.480568794338e-04
99.84592	0.898459	1.480616670563e-04
100.03082	0.900308	1.480662622388e-04
100.21572	0.902157	1.480706727052e-04
100.40062	0.904006	1.480749058702e-04
100.58552	0.905855	1.480789688520e-04
100.77042	0.907704	1.480828684834e-04
100.95532	0.909553	1.480866113239e-04
101.14022	0.911402	1.480902036699e-04
101.32512	0.913251	1.480936515658e-04
101.51002	0.915100	1.480969608137e-04
101.69492	0.916949	1.481001369831e-04
101.87982	0.918798	1.481031854203e-04
102.06471	0.920647	1.481061112571e-04
102.24961	0.922496	1.481089194197e-04
102.43451	0.924345	1.481116146366e-04
102.61941	0.926194	1.481142014468e-04
102.80431	0.928043	1.481166842068e-04
102.98921	0.929892	1.481190670988e-04
103.17411	0.931741	1.481213541369e-04
103.35901	0.933590	1.481235491740e-04
103.54391	0.935439	1.481256559085e-04
103.72881	0.937288	1.481276778904e-04
103.91371	0.939137	1.481296185270e-04
104.09861	0.940986	1.481314810888e-04
104.28351	0.942835	1.481332687152e-04
104.46841	0.944684	1.481349844191e-04
104.65331	0.946533	1.481366310928e-04
104.83821	0.948382	1.481382115121e-04
105.02311	0.950231	1.481397283416e-04
105.20801	0.952080	1.481411841386e-04
105.39291	0.953929	1.481425813577e-04
105.57781	0.955778	1.481439223549e-04
105.76271	0.957627	1.481452093916e-04
105.94761	0.959476	1.481464446381e-04
106.13251	0.961325	1.481476301778e-04
106.31741	0.963174	1.481487680100e-04
106.50231	0.965023	1.481498600539e-04
106.68721	0.966872	1.481509081515e-04
106.87211	0.968721	1.481519140706e-04
107.05701	0.970570	1.481528795082e-04
107.24191	0.972419	1.481538060928e-04
107.42681	0.974268	1.481546953875e-04
107.61171	0.976117	1.481555488928e-04
107.79661	0.977966	1.481563680484e-04
107.98151	0.979815	1.481571542365e-04
108.16641	0.981664	1.481579087835e-04
108.35131	0.983513	1.481586329626e-04
108.53621	0.985362	1.481593279957e-04
108.72111	0.987211	1.481599950556e-04
108.90601	0.989060	1.481606352678e-04
109.09091	0.990909	1.481612497128e-04
109.27581	0.992758	1.481618394274e-04
109.46071	0.994607	1.481624054068e-04
109.64561	0.996456	1.481629486060e-04
109.83051	0.998305	1.481634699419e-04
110.01541	1.000154	1.481639702943e-04
110.20031	1.002003	1.481644505076e-04
110.38521	1.003852	1.481649113923e-04
110.57011	1.005701	1.481653537262e-04
110.75501	1.007550	1.481657782560e-04
110.93991	1.009399	1.481661856981e-04
111.12481	1.011248	1.481665767403e-04
111.30971	1.013097	1.481669520425e-04
111.49461	1.014946	1.481673122383e-04
111.67951	1.016795	1.481676579357e-04
111.86441	1.018644	1.481679897182e-04
112.04931	1.020493	1.481683081457e-04
112.23421	1.022342	1.481686137559e-04
112.41911	1.024191	1.481689070645e-04
112.60401	1.026040	1.481691885668e-04
112.78891	1.027889	1.481694587379e-04
112.97381	1.029738	1.481697180339e-04
113.15871	1.031587	1.481699668925e-04
113.34361	1.033436	1.481702057337e-04
113.52851	1.035285	1.481704349609e-04
113.71341	1.037134	1.481706549609e-04
113.89831	1.038983	1.481708661052e-04
114.08320	1.040832	1.481710687502e-04
114.26810	1.042681	1.481712632380e-04
114.45300	1.044530	1.481714498969e-04
114.63790	1.046379	1.481716290421e-04
114.82280	1.048228	1.481718009761e-04
115.00770	1.050077	1.481719659890e-04
115.19260	1.051926	1.481721243595e-04
115.37750	1.053775	1.481722763549e-04
115.56240	1.055624	1.481724222318e-04
115.74730	1.057473	1.481725622366e-04
115.93220	1.059322	1.481726966056e-04
116.11710	1.061171	1.481728255656e-04
116.30200	1.063020	1.481729493344e-04
116.48690	1.064869	1.481730681209e-04
116.67180	1.066718	1.481731821257e-04
116.85670	1.068567	1.481732915413e-04
117.04160	1.070416	1.481733965524e-04
117.22650	1.072265	1.481734973363e-04
117.41140	1.074114	1.481735940632e-04
117.59630	1.075963	1.481736868963e-04
117.78120	1.077812	1.481737759924e-04
117.96610	1.079661	1.481738615020e-04
118.15100	1.081510	1.481739435694e-04
118.33590	1.083359	1.481740223331e-04
118.52080	1.085208	1.481740979262e-04
118.70570	1.087057	1.481741704763e-04
118.89060	1.088906	1.481742401058e-04
119.07550	1.090755	1.481743069324e-04
119.26040	1.092604	1.481743710689e-04
119.44530	1.094453	1.481744326235e-04
119.63020	1.096302	1.481744917003e-04
119.81510	1.098151	1.481745483988e-04
120.00000	1.100000	1.481746028150e-04
