Ewe_V,I_uA
0.327054,-3.157527
0.325050,-3.326110
0.323046,-3.354015
0.321042,-3.608293
0.319038,-4.316755
0.317034,-2.579398
0.315030,-3.931501
0.313026,-3.505367
0.311022,-3.680727
0.309018,-3.775908
0.307014,-2.673715
0.305010,-2.944414
0.303006,-3.738968
0.301002,-3.943057
0.298998,-3.587612
0.296994,-2.511385
0.294990,-3.143314
0.292986,-3.064045
0.290982,-3.486083
0.288978,-3.434472
0.286974,-3.079757
0.284970,-4.625835
0.282966,-2.035325
0.280962,-3.836204
0.278958,-3.672809
0.276954,-2.243803
0.274950,-3.081952
0.272946,-3.218317
0.270942,-3.688471
0.268938,-4.422961
0.266934,-3.114477
0.264930,-2.357843
0.262926,-3.930132
0.260922,-2.234427
0.258918,-4.102952
0.256914,-3.809206
0.254910,-2.880381
0.252906,-3.260853
0.250902,-2.743838
0.248898,-3.819410
0.246894,-4.038030
0.244890,-4.665608
0.242886,-4.169196
0.240882,-4.074596
0.238878,-4.338841
0.236874,-3.038374
0.234870,-3.768736
0.232866,-4.763145
0.230862,-1.410414
0.228858,-3.900269
0.226854,-4.216862
0.224850,-2.346491
0.222846,-2.403359
0.220842,-4.142043
0.218838,-4.385126
0.216834,-4.030792
0.214830,-2.434729
0.212826,-3.516391
0.210822,-3.890571
0.208818,-3.306430
0.206814,-2.383109
0.204810,-4.329517
0.202806,-3.576308
0.200802,-4.327166
0.198798,-1.661545
0.196794,-1.928024
0.194790,-2.579494
0.192786,-3.394019
0.190782,-2.800725
0.188778,-4.872682
0.186774,-3.089954
0.184770,-4.300501
0.182766,-4.293059
0.180762,-3.829126
0.178758,-3.564346
0.176754,-2.872121
0.174749,-2.778379
0.172745,-3.107986
0.170741,-4.014345
0.168737,-2.800204
0.166733,-3.399007
0.164729,-2.424227
0.162725,-3.998349
0.160721,-5.384022
0.158717,-3.670237
0.156713,-1.700360
0.154709,-2.963169
0.152705,-3.461759
0.150701,-2.654387
0.148697,-2.940830
0.146693,-2.973313
0.144689,-3.705580
0.142685,-3.264395
0.140681,-3.171731
0.138677,-3.805724
0.136673,-4.163877
0.134669,-3.221665
0.132665,-2.600696
0.130661,-2.842658
0.128657,-2.958755
0.126653,-2.952104
0.124649,-1.393441
0.122645,-3.137632
0.120641,-2.552119
0.118637,-1.866925
0.116633,-3.296054
0.114629,-3.138556
0.112625,-2.555021
0.110621,-2.073411
0.108617,-3.105432
0.106613,-3.069099
0.104609,-3.274335
0.102605,-4.247767
0.100601,-2.506418
0.098597,-3.535146
0.096593,-4.635938
0.094589,-3.456078
0.092585,-4.644351
0.090581,-4.103702
0.088577,-3.335470
0.086573,-4.040079
0.084569,-2.546995
0.082565,-4.452694
0.080561,-3.153842
0.078557,-2.933593
0.076553,-2.257292
0.074549,-2.661519
0.072545,-3.179197
0.070541,-3.294697
0.068537,-3.399829
0.066533,-2.502800
0.064529,-3.850358
0.062525,-2.967932
0.060521,-3.429809
0.058517,-3.180017
0.056513,-3.558208
0.054509,-1.760989
0.052505,-3.856172
0.050501,-3.174368
0.048497,-3.158161
0.046493,-2.910001
0.044489,-3.029216
0.042485,-3.049607
0.040481,-2.632612
0.038477,-4.498787
0.036473,-3.363639
0.034469,-4.297303
0.032465,-3.198697
0.030461,-4.261202
0.028457,-4.095212
0.026453,-3.421636
0.024449,-2.329919
0.022445,-2.945167
0.020441,-3.156766
0.018437,-2.327750
0.016433,-4.090157
0.014429,-4.951331
0.012425,-3.701192
0.010421,-3.592988
0.008417,-2.459342
0.006413,-1.782062
0.004409,-4.384826
0.002405,-1.530498
0.000401,-2.216232
-0.001603,-2.761674
-0.003607,-3.115628
-0.005611,-1.573172
-0.007615,-3.333407
-0.009619,-3.750180
-0.011623,-3.291659
-0.013627,-4.423994
-0.015631,-3.044109
-0.017635,-3.481560
-0.019639,-3.152352
-0.021643,-3.131227
-0.023647,-4.196599
-0.025651,-2.416367
-0.027655,-4.165714
-0.029659,-2.739541
-0.031663,-4.601722
-0.033667,-3.129109
-0.035671,-4.023792
-0.037675,-3.377788
-0.039679,-3.899359
-0.041683,-5.049282
-0.043687,-4.248855
-0.045691,-3.362334
-0.047695,-2.946874
-0.049699,-4.517787
-0.051703,-5.010822
-0.053707,-4.072176
-0.055711,-3.577671
-0.057715,-3.895107
-0.059719,-4.028530
-0.061723,-2.784427
-0.063727,-2.699063
-0.065731,-2.868257
-0.067735,-4.129163
-0.069739,-3.369591
-0.071743,-3.573133
-0.073747,-4.499590
-0.075752,-2.768238
-0.077756,-3.365244
-0.079760,-3.796004
-0.081764,-2.370268
-0.083768,-2.861667
-0.085772,-2.793640
-0.087776,-2.536731
-0.089780,-2.899505
-0.091784,-4.387999
-0.093788,-3.731820
-0.095792,-2.688972
-0.097796,-4.019200
-0.099800,-3.415991
-0.101804,-3.146641
-0.103808,-2.364970
-0.105812,-2.473208
-0.107816,-2.774677
-0.109820,-3.589518
-0.111824,-2.764748
-0.113828,-3.056050
-0.115832,-3.574692
-0.117836,-2.436266
-0.119840,-3.084834
-0.121844,-4.024007
-0.123848,-2.508556
-0.125852,-3.650824
-0.127856,-3.015474
-0.129860,-4.605278
-0.131864,-3.477841
-0.133868,-4.174270
-0.135872,-4.195499
-0.137876,-4.900226
-0.139880,-1.861073
-0.141884,-3.582333
-0.143888,-3.292478
-0.145892,-2.641372
-0.147896,-3.564970
-0.149900,-3.089722
-0.151904,-4.495388
-0.153908,-3.330023
-0.155912,-3.788968
-0.157916,-3.104324
-0.159920,-3.345218
-0.161924,-4.521404
-0.163928,-4.872287
-0.165932,-4.245823
-0.167936,-2.932934
-0.169940,-3.168222
-0.171944,-3.185905
-0.173948,-5.004054
-0.175952,-5.507921
-0.177956,-3.960091
-0.179960,-3.743159
-0.181964,-3.947575
-0.183968,-3.230414
-0.185972,-3.626088
-0.187976,-4.388569
-0.189980,-4.160400
-0.191984,-3.394502
-0.193988,-3.448646
-0.195992,-3.560157
-0.197996,-1.805220
-0.200000,-3.704085
