Potential_V,Current_uA,Cycle
0.335070,2.016237,1
0.337074,1.706373,1
0.339078,2.392587,1
0.341082,2.242138,1
0.343086,5.044297,1
0.345090,0.703633,1
0.347094,2.778084,1
0.349098,0.257168,1
0.351102,-0.332129,1
0.353106,1.301287,1
0.355110,-0.555215,1
0.357114,2.728954,1
0.359118,0.877623,1
0.361122,1.220889,1
0.363126,3.118924,1
0.365130,5.248863,1
0.367134,1.058879,1
0.369138,-1.824601,1
0.371142,1.208404,1
0.373146,1.927925,1
0.375150,4.133084,1
0.377154,1.742842,1
0.379158,0.019227,1
0.381162,3.546117,1
0.383166,3.808822,1
0.385170,1.226153,1
0.387174,2.122456,1
0.389178,2.210250,1
0.391182,6.568235,1
0.393186,0.200933,1
0.395190,0.519611,1
0.397194,1.091316,1
0.399198,2.661102,1
0.401202,0.594434,1
0.403206,2.151473,1
0.405210,2.870534,1
0.407214,4.955689,1
0.409218,0.685899,1
0.411222,0.330861,1
0.413226,0.243686,1
0.415230,-2.818991,1
0.417234,-1.520508,1
0.419238,1.072965,1
0.421242,1.035532,1
0.423246,5.826816,1
0.425251,3.116375,1
0.427255,2.154429,1
0.429259,3.502636,1
0.431263,-0.729948,1
0.433267,-0.602438,1
0.435271,-0.991492,1
0.437275,0.145907,1
0.439279,4.706447,1
0.441283,-0.111574,1
0.443287,-0.887786,1
0.445291,0.448101,1
0.447295,2.004798,1
0.449299,1.276200,1
0.451303,2.003808,1
0.453307,-2.097504,1
0.455311,-1.441297,1
0.457315,-0.196099,1
0.459319,0.434755,1
0.461323,2.942352,1
0.463327,-2.291159,1
0.465331,1.489078,1
0.467335,-0.254021,1
0.469339,1.410316,1
0.471343,-1.118064,1
0.473347,-2.592142,1
0.475351,2.513621,1
0.477355,0.738179,1
0.479359,-3.704833,1
0.481363,1.529934,1
0.483367,-1.859990,1
0.485371,-0.077041,1
0.487375,0.092901,1
0.489379,-2.557710,1
0.491383,2.316090,1
0.493387,-0.932011,1
0.495391,3.338124,1
0.497395,1.063436,1
0.499399,1.118861,1
0.501403,0.628394,1
0.503407,4.012106,1
0.505411,-1.941452,1
0.507415,-1.461094,1
0.509419,-1.224798,1
0.511423,2.376775,1
0.513427,2.179131,1
0.515431,0.260275,1
0.517435,0.621612,1
0.519439,-3.188590,1
0.521443,3.044465,1
0.523447,-0.351519,1
0.525451,0.330449,1
0.527455,-0.510417,1
0.529459,1.393118,1
0.531463,-0.336683,1
0.533467,0.332124,1
0.535471,0.271183,1
0.537475,-0.917575,1
0.539479,-1.122973,1
0.541483,0.881109,1
0.543487,0.863486,1
0.545491,1.566006,1
0.547495,2.993905,1
0.549499,-2.360841,1
0.551503,-3.570017,1
0.553507,-0.705694,1
0.555511,2.641465,1
0.557515,0.014977,1
0.559519,-3.527250,1
0.561523,3.283823,1
0.563527,1.106493,1
0.565531,-2.877152,1
0.567535,-1.551343,1
0.569539,0.305123,1
0.571543,-0.999373,1
0.573547,-0.161349,1
0.575551,1.143217,1
0.577555,0.120005,1
0.579559,2.888417,1
0.581563,-0.270767,1
0.583567,3.087254,1
0.585571,-1.055446,1
0.587575,-2.217378,1
0.589579,-4.070861,1
0.591583,-1.619123,1
0.593587,0.295910,1
0.595591,2.024158,1
0.597595,-6.742121,1
0.599599,0.029508,1
0.601603,-1.829595,1
0.603607,1.522601,1
0.605611,-0.913834,1
0.607615,0.709317,1
0.609619,3.709397,1
0.611623,0.330916,1
0.613627,-0.226991,1
0.615631,2.069637,1
0.617635,0.694552,1
0.619639,-0.289850,1
0.621643,-3.091056,1
0.623647,-0.597975,1
0.625651,-3.212635,1
0.627655,0.508709,1
0.629659,1.247560,1
0.631663,0.226908,1
0.633667,3.776016,1
0.635671,-2.171315,1
0.637675,0.917444,1
0.639679,0.178677,1
0.641683,-2.248172,1
0.643687,1.095602,1
0.645691,1.749467,1
0.647695,2.334431,1
0.649699,-0.231964,1
0.651703,1.369150,1
0.653707,-1.210768,1
0.655711,3.065516,1
0.657715,3.679128,1
0.659719,0.425370,1
0.661723,0.568364,1
0.663727,-1.997761,1
0.665731,0.170438,1
0.667735,-0.606518,1
0.669739,0.581681,1
0.671743,-2.669823,1
0.673747,3.656421,1
0.675752,0.513310,1
0.677756,2.294770,1
0.679760,1.123495,1
0.681764,-0.429876,1
0.683768,3.968755,1
0.685772,2.366190,1
0.687776,-2.806008,1
0.689780,0.105135,1
0.691784,-0.311703,1
0.693788,-1.445309,1
0.695792,4.450186,1
0.697796,-2.274540,1
0.699800,3.182979,1
0.701804,-3.264921,1
0.703808,2.880016,1
0.705812,-0.893880,1
0.707816,-4.309117,1
0.709820,0.702678,1
0.711824,1.119598,1
0.713828,-1.645586,1
0.715832,2.321465,1
0.717836,-3.181280,1
0.719840,2.416106,1
0.721844,1.344752,1
0.723848,3.743064,1
0.725852,-0.612995,1
0.727856,1.934071,1
0.729860,-0.977681,1
0.731864,1.822672,1
0.733868,0.682252,1
0.735872,1.787367,1
0.737876,-2.359305,1
0.739880,1.169057,1
0.741884,0.930497,1
0.743888,3.194028,1
0.745892,-0.475547,1
0.747896,-0.162227,1
0.749900,1.482401,1
0.751904,1.248626,1
0.753908,-4.819740,1
0.755912,-0.362527,1
0.757916,1.906068,1
0.759920,-0.510434,1
0.761924,-3.497760,1
0.763928,-0.500772,1
0.765932,0.134742,1
0.767936,-1.738685,1
0.769940,0.339759,1
0.771944,-2.013302,1
0.773948,-0.217268,1
0.775952,0.328010,1
0.777956,3.697608,1
0.779960,0.865187,1
0.781964,2.693498,1
0.783968,0.596593,1
0.785972,-2.098703,1
0.787976,-2.138170,1
0.789980,1.732589,1
0.791984,-3.025483,1
0.793988,-3.014834,1
0.795992,1.954986,1
0.797996,-1.466982,1
0.800000,-2.133910,1
0.800000,3.114480,1
0.797996,-1.903797,1
0.795992,1.044933,1
0.793988,-0.237916,1
0.791984,0.094623,1
0.789980,-0.083252,1
0.787976,1.833852,1
0.785972,2.775469,1
0.783968,-2.027093,1
0.781964,2.864765,1
0.779960,-0.601454,1
0.777956,-0.511387,1
0.775952,1.188527,1
0.773948,-1.252449,1
0.771944,-2.009637,1
0.769940,2.838252,1
0.767936,-1.319887,1
0.765932,-4.384468,1
0.763928,-6.714566,1
0.761924,0.465108,1
0.759920,-0.471782,1
0.757916,3.263176,1
0.755912,-2.494948,1
0.753908,-2.584786,1
0.751904,-0.101631,1
0.749900,2.485341,1
0.747896,2.636500,1
0.745892,-0.096016,1
0.743888,-1.442298,1
0.741884,0.107795,1
0.739880,2.867401,1
0.737876,-0.312918,1
0.735872,-1.041372,1
0.733868,0.737931,1
0.731864,0.250998,1
0.729860,0.078306,1
0.727856,3.987762,1
0.725852,1.191110,1
0.723848,0.097747,1
0.721844,-0.825176,1
0.719840,-0.664007,1
0.717836,0.881897,1
0.715832,1.315956,1
0.713828,-1.375769,1
0.711824,-1.161347,1
0.709820,-0.657704,1
0.707816,-1.979240,1
0.705812,2.058605,1
0.703808,-1.901467,1
0.701804,0.190076,1
0.699800,1.844517,1
0.697796,-2.066829,1
0.695792,-1.806226,1
0.693788,-0.391247,1
0.691784,0.890974,1
0.689780,0.255507,1
0.687776,-0.005924,1
0.685772,2.378189,1
0.683768,-1.241220,1
0.681764,-1.451325,1
0.679760,1.189166,1
0.677756,0.130667,1
0.675752,1.778525,1
0.673747,2.048908,1
0.671743,-2.278132,1
0.669739,-4.250213,1
0.667735,1.002565,1
0.665731,-0.186483,1
0.663727,0.460546,1
0.661723,-1.891534,1
0.659719,1.490547,1
0.657715,-0.549949,1
0.655711,0.997543,1
0.653707,1.714371,1
0.651703,0.124089,1
0.649699,-0.271761,1
0.647695,-1.466005,1
0.645691,5.254509,1
0.643687,-2.806435,1
0.641683,1.310496,1
0.639679,-3.079921,1
0.637675,-1.728618,1
0.635671,2.703494,1
0.633667,-1.546004,1
0.631663,2.016002,1
0.629659,-0.851788,1
0.627655,1.653918,1
0.625651,-2.906360,1
0.623647,-2.352902,1
0.621643,2.799214,1
0.619639,0.559821,1
0.617635,-2.165046,1
0.615631,-1.069002,1
0.613627,-5.645976,1
0.611623,-0.759348,1
0.609619,-2.766564,1
0.607615,-2.057524,1
0.605611,2.856899,1
0.603607,-1.224320,1
0.601603,-1.385333,1
0.599599,-2.357004,1
0.597595,1.187100,1
0.595591,0.948209,1
0.593587,-1.829244,1
0.591583,-3.459926,1
0.589579,-0.580246,1
0.587575,0.092209,1
0.585571,-4.116655,1
0.583567,2.114853,1
0.581563,-1.985740,1
0.579559,0.025056,1
0.577555,-1.728779,1
0.575551,-1.698930,1
0.573547,1.673530,1
0.571543,0.011581,1
0.569539,-3.199364,1
0.567535,0.506095,1
0.565531,1.466958,1
0.563527,-0.518135,1
0.561523,1.967880,1
0.559519,-2.022316,1
0.557515,1.714877,1
0.555511,0.259707,1
0.553507,0.155427,1
0.551503,2.557434,1
0.549499,1.217428,1
0.547495,-0.801806,1
0.545491,0.836025,1
0.543487,-1.518261,1
0.541483,0.840117,1
0.539479,2.450241,1
0.537475,2.251452,1
0.535471,-1.574090,1
0.533467,-0.643560,1
0.531463,1.112165,1
0.529459,1.000798,1
0.527455,-1.659373,1
0.525451,0.260826,1
0.523447,0.604328,1
0.521443,2.872240,1
0.519439,0.300755,1
0.517435,-0.329113,1
0.515431,-2.326058,1
0.513427,-2.909702,1
0.511423,1.668207,1
0.509419,-0.032603,1
0.507415,-1.063927,1
0.505411,1.771390,1
0.503407,0.793940,1
0.501403,-0.382311,1
0.499399,1.265368,1
0.497395,-0.982924,1
0.495391,1.267678,1
0.493387,0.599529,1
0.491383,-1.013606,1
0.489379,-0.937805,1
0.487375,-1.622449,1
0.485371,1.628581,1
0.483367,-0.421138,1
0.481363,-2.188963,1
0.479359,1.277321,1
0.477355,0.804815,1
0.475351,-0.132629,1
0.473347,0.268056,1
0.471343,-0.892591,1
0.469339,-1.335415,1
0.467335,1.542741,1
0.465331,-2.409878,1
0.463327,-3.231475,1
0.461323,-2.834893,1
0.459319,1.531705,1
0.457315,-2.324058,1
0.455311,-0.753423,1
0.453307,-1.647600,1
0.451303,-2.244506,1
0.449299,-0.560258,1
0.447295,-0.476165,1
0.445291,3.654755,1
0.443287,-0.907793,1
0.441283,0.277687,1
0.439279,3.778668,1
0.437275,2.584214,1
0.435271,1.005622,1
0.433267,1.566688,1
0.431263,-0.290143,1
0.429259,1.427118,1
0.427255,0.309855,1
0.425251,-1.866856,1
0.423246,3.202230,1
0.421242,-0.255532,1
0.419238,0.883837,1
0.417234,-1.270818,1
0.415230,-2.679552,1
0.413226,-3.792528,1
0.411222,-6.865216,1
0.409218,0.874980,1
0.407214,-3.812763,1
0.405210,-1.425956,1
0.403206,-0.393023,1
0.401202,-3.371457,1
0.399198,-1.467446,1
0.397194,0.288626,1
0.395190,-0.960938,1
0.393186,0.629750,1
0.391182,-5.814672,1
0.389178,0.608588,1
0.387174,1.114097,1
0.385170,-3.289715,1
0.383166,0.877069,1
0.381162,-1.463297,1
0.379158,-1.209506,1
0.377154,0.357921,1
0.375150,-3.741716,1
0.373146,0.817562,1
0.371142,-2.303464,1
0.369138,0.649207,1
0.367134,-1.095712,1
0.365130,-0.437412,1
0.363126,-2.674105,1
0.361122,-1.158892,1
0.359118,-3.445879,1
0.357114,-2.551514,1
0.355110,-4.034495,1
0.353106,-1.423664,1
0.351102,-3.322378,1
0.349098,3.264617,1
0.347094,-3.210862,1
0.345090,-5.831342,1
0.343086,0.636251,1
0.341082,-2.371638,1
0.339078,-0.719023,1
0.337074,-1.641952,1
0.335070,-3.388131,1
0.333066,-3.071096,1
0.331062,-4.095604,1
0.329058,0.813934,1
0.327054,-0.761570,1
0.325050,-4.749562,1
0.323046,-0.244418,1
0.321042,-1.091168,1
0.319038,-5.558715,1
0.317034,-4.008400,1
0.315030,-1.637842,1
0.313026,-1.931501,1
0.311022,1.535484,1
0.309018,-2.611305,1
0.307014,-0.767991,1
0.305010,-3.675577,1
0.303006,-2.985150,1
0.301002,-2.792655,1
0.298998,-2.973318,1
0.296994,-2.486654,1
0.294990,-2.767597,1
0.292986,-6.221867,1
0.290982,-1.619314,1
0.288978,-5.306743,1
0.286974,-1.428229,1
0.284970,-1.807849,1
0.282966,-1.730846,1
0.280962,-4.312474,1
0.278958,-2.567020,1
0.276954,-1.714821,1
0.274950,-4.218043,1
0.272946,-6.107146,1
0.270942,0.270805,1
0.268938,-3.628514,1
0.266934,-4.138584,1
0.264930,-5.135089,1
0.262926,-5.593533,1
0.260922,-8.469213,1
0.258918,-5.249083,1
0.256914,-5.244602,1
0.254910,-4.796253,1
0.252906,0.843421,1
0.250902,-3.219875,1
0.248898,-3.737220,1
0.246894,-2.760190,1
0.244890,-4.413999,1
0.242886,-0.226352,1
0.240882,-0.297917,1
0.238878,-4.224939,1
0.236874,-0.681083,1
0.234870,-1.090534,1
0.232866,2.746201,1
0.230862,0.026664,1
0.228858,-5.214753,1
0.226854,-3.176592,1
0.224850,-0.688658,1
0.222846,-1.095845,1
0.220842,0.316303,1
0.218838,-2.399349,1
0.216834,-1.544955,1
0.214830,0.938426,1
0.212826,-0.740513,1
0.210822,-1.926910,1
0.208818,2.967981,1
0.206814,-1.897248,1
0.204810,-1.345948,1
0.202806,-3.327000,1
0.200802,-1.012995,1
0.198798,-4.937450,1
0.196794,1.646890,1
0.194790,-5.797912,1
0.192786,0.423472,1
0.190782,-2.968615,1
0.188778,-0.507018,1
0.186774,1.852867,1
0.184770,-1.105994,1
0.182766,-0.071177,1
0.180762,-2.304066,1
0.178758,-1.594181,1
0.176754,1.506695,1
0.174749,-2.351551,1
0.172745,0.915595,1
0.170741,-0.412040,1
0.168737,-1.558592,1
0.166733,1.199843,1
0.164729,-2.571871,1
0.162725,0.020989,1
0.160721,-3.251192,1
0.158717,-1.080669,1
0.156713,-3.108932,1
0.154709,-0.147483,1
0.152705,1.314025,1
0.150701,1.557352,1
0.148697,0.439473,1
0.146693,0.066237,1
0.144689,-1.287763,1
0.142685,-1.116582,1
0.140681,-2.235538,1
0.138677,3.788614,1
0.136673,-0.486027,1
0.134669,-0.571547,1
0.132665,0.000100,1
0.130661,-1.901752,1
0.128657,3.019872,1
0.126653,-1.134614,1
0.124649,-2.180106,1
0.122645,3.349556,1
0.120641,2.204835,1
0.118637,1.156245,1
0.116633,-1.109575,1
0.114629,2.737831,1
0.112625,-0.128451,1
0.110621,0.395795,1
0.108617,2.161856,1
0.106613,0.216041,1
0.104609,-1.040129,1
0.102605,-4.428755,1
0.100601,2.147207,1
0.098597,-4.635974,1
0.096593,-1.693593,1
0.094589,-2.009904,1
0.092585,-1.325247,1
0.090581,-1.078858,1
0.088577,0.649886,1
0.086573,-0.958967,1
0.084569,-5.906591,1
0.082565,-0.376368,1
0.080561,-2.750382,1
0.078557,-1.210753,1
0.076553,-2.947872,1
0.074549,-0.657146,1
0.072545,-0.959327,1
0.070541,1.187268,1
0.068537,0.494346,1
0.066533,1.528268,1
0.064529,-3.295154,1
0.062525,2.386094,1
0.060521,-1.381122,1
0.058517,0.509290,1
0.056513,0.997425,1
0.054509,1.184606,1
0.052505,-0.572818,1
0.050501,-3.090602,1
0.048497,1.358008,1
0.046493,2.279005,1
0.044489,2.138894,1
0.042485,2.082051,1
0.040481,3.043765,1
0.038477,1.682548,1
0.036473,-0.952211,1
0.034469,1.326155,1
0.032465,-2.332013,1
0.030461,-0.256941,1
0.028457,0.074924,1
0.026453,2.058117,1
0.024449,-0.752627,1
0.022445,-0.588362,1
0.020441,-1.220004,1
0.018437,0.807845,1
0.016433,-3.581468,1
0.014429,-4.645566,1
0.012425,3.154308,1
0.010421,2.262829,1
0.008417,1.132015,1
0.006413,0.554636,1
0.004409,-1.366287,1
0.002405,-3.170194,1
0.000401,0.668007,1
-0.001603,-2.406852,1
-0.003607,1.687230,1
-0.005611,0.325283,1
-0.007615,-2.968278,1
-0.009619,0.324769,1
-0.011623,-3.658533,1
-0.013627,-1.609205,1
-0.015631,1.702822,1
-0.017635,-1.579341,1
-0.019639,-0.754417,1
-0.021643,-1.450615,1
-0.023647,-1.209940,1
-0.025651,1.765037,1
-0.027655,0.767327,1
-0.029659,0.876390,1
-0.031663,-3.146666,1
-0.033667,-0.590111,1
-0.035671,-1.560890,1
-0.037675,0.224356,1
-0.039679,-2.039214,1
-0.041683,1.910257,1
-0.043687,5.310679,1
-0.045691,0.302341,1
-0.047695,-1.081754,1
-0.049699,1.609661,1
-0.051703,-3.174573,1
-0.053707,-1.001657,1
-0.055711,1.770046,1
-0.057715,-0.672753,1
-0.059719,0.005927,1
-0.061723,2.786270,1
-0.063727,0.530071,1
-0.065731,1.216841,1
-0.067735,-1.814688,1
-0.069739,4.302406,1
-0.071743,-0.637906,1
-0.073747,1.015158,1
-0.075752,0.272677,1
-0.077756,0.024764,1
-0.079760,-2.325088,1
-0.081764,-0.393506,1
-0.083768,0.349825,1
-0.085772,2.893054,1
-0.087776,0.487280,1
-0.089780,-0.692512,1
-0.091784,0.568896,1
-0.093788,0.513648,1
-0.095792,-0.015668,1
-0.097796,0.689857,1
-0.099800,3.392621,1
-0.101804,0.195623,1
-0.103808,-2.342803,1
-0.105812,-0.871036,1
-0.107816,-0.391787,1
-0.109820,-1.233173,1
-0.111824,0.497916,1
-0.113828,2.057692,1
-0.115832,-3.676177,1
-0.117836,-1.978712,1
-0.119840,-0.748805,1
-0.121844,1.446175,1
-0.123848,-3.362798,1
-0.125852,2.146352,1
-0.127856,3.170954,1
-0.129860,2.532639,1
-0.131864,0.668800,1
-0.133868,-2.372686,1
-0.135872,-0.807351,1
-0.137876,-1.074886,1
-0.139880,0.407068,1
-0.141884,1.973782,1
-0.143888,1.329038,1
-0.145892,-1.533525,1
-0.147896,2.112994,1
-0.149900,2.527880,1
-0.151904,-1.668763,1
-0.153908,-1.681345,1
-0.155912,-0.718109,1
-0.157916,0.882667,1
-0.159920,-1.754940,1
-0.161924,2.557703,1
-0.163928,0.575604,1
-0.165932,1.842751,1
-0.167936,-0.882462,1
-0.169940,-1.479281,1
-0.171944,1.065324,1
-0.173948,4.312482,1
-0.175952,1.841239,1
-0.177956,2.980411,1
-0.179960,-0.528722,1
-0.181964,-0.816826,1
-0.183968,0.314762,1
-0.185972,1.542817,1
-0.187976,0.410981,1
-0.189980,-2.022400,1
-0.191984,-2.782043,1
-0.193988,0.815137,1
-0.195992,-0.045764,1
-0.197996,5.634182,1
-0.200000,-0.896943,1
